Networks test result:
Layers: 1, neurons: 1, absolute error: 0.10
Layers: 1, neurons: 2, absolute error: 0.05
Layers: 1, neurons: 3, absolute error: 0.15
Layers: 1, neurons: 4, absolute error: 0.10
Layers: 1, neurons: 5, absolute error: 0.50
Layers: 1, neurons: 6, absolute error: 0.05
Layers: 1, neurons: 7, absolute error: 0.10
Layers: 1, neurons: 8, absolute error: 0.10
Layers: 1, neurons: 9, absolute error: 0.05
Layers: 1, neurons: 10, absolute error: 0.00
Layers: 1, neurons: 11, absolute error: 0.10
Layers: 1, neurons: 12, absolute error: 0.25
Layers: 1, neurons: 13, absolute error: 0.10
Layers: 1, neurons: 14, absolute error: 0.10
Layers: 1, neurons: 15, absolute error: 0.10
Layers: 1, neurons: 16, absolute error: 0.10
Layers: 1, neurons: 17, absolute error: 0.10
Layers: 1, neurons: 18, absolute error: 0.30
Layers: 1, neurons: 19, absolute error: 0.10
Layers: 1, neurons: 20, absolute error: 0.10
Layers: 2, neurons: 1, absolute error: 0.45
Layers: 2, neurons: 2, absolute error: 0.10
Layers: 2, neurons: 3, absolute error: 0.10
Layers: 2, neurons: 4, absolute error: 0.25
Layers: 2, neurons: 5, absolute error: 0.45
Layers: 2, neurons: 6, absolute error: 0.10
Layers: 2, neurons: 7, absolute error: 0.25
Layers: 2, neurons: 8, absolute error: 0.05
Layers: 2, neurons: 9, absolute error: 0.45
Layers: 2, neurons: 10, absolute error: 0.20
Layers: 2, neurons: 11, absolute error: 0.40
Layers: 2, neurons: 12, absolute error: 0.10
Layers: 2, neurons: 13, absolute error: 0.25
Layers: 2, neurons: 14, absolute error: 0.35
Layers: 2, neurons: 15, absolute error: 0.10
Layers: 2, neurons: 16, absolute error: 0.10
Layers: 2, neurons: 17, absolute error: 0.30
Layers: 2, neurons: 18, absolute error: 0.05
Layers: 2, neurons: 19, absolute error: 0.10
Layers: 2, neurons: 20, absolute error: 0.20
Layers: 3, neurons: 1, absolute error: 0.35
Layers: 3, neurons: 2, absolute error: 0.25
Layers: 3, neurons: 3, absolute error: 0.10
Layers: 3, neurons: 4, absolute error: 0.30
Layers: 3, neurons: 5, absolute error: 0.10
Layers: 3, neurons: 6, absolute error: 0.50
Layers: 3, neurons: 7, absolute error: 0.25
Layers: 3, neurons: 8, absolute error: 0.50
Layers: 3, neurons: 9, absolute error: 0.25
Layers: 3, neurons: 10, absolute error: 0.25
Layers: 3, neurons: 11, absolute error: 0.50
Layers: 3, neurons: 12, absolute error: 0.25
Layers: 3, neurons: 13, absolute error: 0.10
Layers: 3, neurons: 14, absolute error: 0.10
Layers: 3, neurons: 15, absolute error: 0.50
Layers: 3, neurons: 16, absolute error: 0.05
Layers: 3, neurons: 17, absolute error: 0.10
Layers: 3, neurons: 18, absolute error: 0.35
Layers: 3, neurons: 19, absolute error: 0.10
Layers: 3, neurons: 20, absolute error: 0.10
Layers: 4, neurons: 1, absolute error: 0.25
Layers: 4, neurons: 2, absolute error: 0.10
Layers: 4, neurons: 3, absolute error: 0.05
Layers: 4, neurons: 4, absolute error: 0.10
Layers: 4, neurons: 5, absolute error: 0.05
Layers: 4, neurons: 6, absolute error: 0.30
Layers: 4, neurons: 7, absolute error: 0.10
Layers: 4, neurons: 8, absolute error: 0.10
Layers: 4, neurons: 9, absolute error: 0.05
Layers: 4, neurons: 10, absolute error: 0.20
Layers: 4, neurons: 11, absolute error: 0.10
Layers: 4, neurons: 12, absolute error: 0.25
Layers: 4, neurons: 13, absolute error: 0.30
Layers: 4, neurons: 14, absolute error: 0.20
Layers: 4, neurons: 15, absolute error: 0.50
Layers: 4, neurons: 16, absolute error: 0.10
Layers: 4, neurons: 17, absolute error: 0.30
Layers: 4, neurons: 18, absolute error: 0.25
Layers: 4, neurons: 19, absolute error: 0.25
Layers: 4, neurons: 20, absolute error: 0.25
Layers: 5, neurons: 1, absolute error: 0.25
Layers: 5, neurons: 2, absolute error: 0.30
Layers: 5, neurons: 3, absolute error: 0.10
Layers: 5, neurons: 4, absolute error: 0.10
Layers: 5, neurons: 5, absolute error: 0.45
